Country,Happiness.Rank,Happiness.Score,Whisker.high,Whisker.low,Economy..GDP.per.Capita.,Family,Health..Life.Expectancy.,Freedom,Generosity,Trust..Government.Corruption.,Dystopia.Residual,region,Population
Norway,1,7.537000179,7.594444821,7.479555538,1.616463184,1.53352356,0.796666503,0.6354225874,0.3620122373,0.3159638345,2.277026653,Western Europe,5276968
Denmark,2,7.521999836,7.581728065,7.462271607,1.482383013,1.551121593,0.7925655246,0.6260067225,0.3552804887,0.4007700682,2.313707352,Western Europe,5764980
Iceland,3,7.504000187,7.622030473,7.385969901,1.48063302,1.610574007,0.8335521221,0.6271626353,0.4755402207,0.1535265595,2.322715282,Western Europe,343400
Switzerland,4,7.493999958,7.56177242,7.426227496,1.564979553,1.516911745,0.8581312895,0.6200705767,0.2905492783,0.3670072854,2.276716232,Western Europe,8451840
Finland,5,7.468999863,7.527542076,7.41045765,1.443571925,1.540246725,0.8091576695,0.6179508567,0.2454827726,0.3826115429,2.430181503,Western Europe,5508214
Netherlands,6,7.376999855,7.427425841,7.326573869,1.503944635,1.428939223,0.810696125,0.5853844881,0.4704898298,0.2826618254,2.294804096,Western Europe,17131296
Canada,7,7.315999985,7.384402835,7.247597134,1.479204416,1.481348991,0.8345576525,0.6111009121,0.4355397224,0.2873715162,2.187264442,North America,36543321
New Zealand,8,7.31400013,7.379510442,7.248489818,1.405706048,1.548195124,0.8167597055,0.6140621305,0.500005126,0.3828167021,2.046456337,Australia and New Zealand,4793900
Sweden,9,7.28399992,7.344094877,7.223904962,1.494387269,1.478162169,0.8308751583,0.612924099,0.3853992522,0.3843987286,2.097537994,Western Europe,10057698
Australia,10,7.28399992,7.356651225,7.211348615,1.484414935,1.510041952,0.8438867927,0.6016073823,0.47769925,0.3011837304,2.065210819,Australia and New Zealand,24601860
Israel,11,7.212999821,7.279853256,7.146146385,1.375382423,1.376289964,0.8384039998,0.4059886038,0.330082655,0.08524210006,2.801757336,Middle East and Northern Africa,8713300
Costa Rica,12,7.078999996,7.168111666,6.989888326,1.109706283,1.416403651,0.7595092654,0.58013165,0.214613229,0.1001065895,2.898639202,Latin America and Caribbean,4949954
Austria,13,7.006000042,7.070669812,6.941330272,1.487097263,1.459944963,0.8153284192,0.5677661896,0.3164723217,0.2210603654,2.138506413,Western Europe,8797566
United States,14,6.993000031,7.074656748,6.911343313,1.546259284,1.419920564,0.7742866278,0.5057405233,0.3925787807,0.1356387883,2.218113422,North America,324985539
Ireland,15,6.977000237,7.043351668,6.910648805,1.535706639,1.558231115,0.8097826242,0.573110342,0.4278583229,0.2983881533,1.773869038,Western Europe,4807388
Germany,16,6.951000214,7.005381569,6.896618858,1.487923384,1.472520351,0.7989507318,0.5625113845,0.33626917,0.2767319381,2.015769958,Western Europe,82657002
Belgium,17,6.890999794,6.95582075,6.826178838,1.463780761,1.462312698,0.8180918694,0.5397707224,0.2315033376,0.2513431311,2.124210358,Western Europe,11375158
Luxembourg,18,6.862999916,6.9236861,6.802313732,1.741943598,1.457583666,0.8450894952,0.5966278911,0.2831809819,0.318834424,1.619512081,Western Europe,596336
United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.8053359389,0.5081900358,0.4927741587,0.2654280663,1.704143524,Western Europe,66058859
Chile,20,6.65199995,6.73925056,6.564749341,1.25278461,1.284024954,0.8194797039,0.3768952787,0.3266624212,0.08228798211,2.509585857,Latin America and Caribbean,18470439
United Arab Emirates,21,6.647999763,6.722047304,6.573952223,1.626343369,1.266410232,0.7267982364,0.6083452702,0.3609419465,0.3244895637,1.734703541,Middle East and Northern Africa,9487203
Brazil,22,6.635000229,6.725469502,6.544530956,1.10735321,1.431306005,0.6165523529,0.4374537468,0.1623498946,0.1110927612,2.769267082,Latin America and Caribbean,207833831
Czech Republic,23,6.609000206,6.683862463,6.534137949,1.352682352,1.433885217,0.7544440031,0.4909461737,0.08810675889,0.0368729271,2.451861858,Central and Eastern Europe,10594438
Argentina,24,6.598999977,6.690085086,6.507914868,1.185295463,1.440451145,0.6951370835,0.4945192039,0.1094570607,0.05973988771,2.614005327,Latin America and Caribbean,44044811
Mexico,25,6.578000069,6.671148908,6.48485123,1.153183818,1.21086216,0.7099789977,0.4127300084,0.1209904328,0.1327741146,2.837154865,Latin America and Caribbean,124777324
Singapore,26,6.572000027,6.636723069,6.507276984,1.69227767,1.353814363,0.9494923949,0.5498405695,0.3459659815,0.464307785,1.216362,Southeastern Asia,5612253
Malta,27,6.52699995,6.598396773,6.455603128,1.343279839,1.488411665,0.8219442368,0.5887670517,0.5747305751,0.1530660689,1.556862831,Western Europe,467999
Uruguay,28,6.453999996,6.545906218,6.362093775,1.217559695,1.412227869,0.7192168236,0.5793922544,0.1750969291,0.1780618727,2.172409534,Latin America and Caribbean,3436646
Guatemala,29,6.453999996,6.566873973,6.34112602,0.872001946,1.255585194,0.5402399898,0.5313106179,0.2834883928,0.07722327858,2.893891096,Latin America and Caribbean,16087418
Panama,30,6.452000141,6.557130716,6.346869566,1.233748436,1.373192549,0.7061561346,0.550026834,0.2105569392,0.07098392397,2.307199955,Latin America and Caribbean,4106771
France,31,6.441999912,6.515767802,6.368232022,1.430923462,1.387776852,0.8444658518,0.4702221155,0.1297623068,0.1725024283,2.005954742,Western Europe,66864379
Thailand,32,6.423999786,6.509116856,6.338882717,1.127868772,1.425792456,0.6472390294,0.5802007318,0.5721231103,0.03161273524,2.039508343,Southeastern Asia,69209858
Taiwan Province of China,33,6.421999931,6.494596022,6.349403841,1.433626533,1.384565353,0.7939842343,0.3614665866,0.2583604753,0.06382923573,2.126607418,Southeastern Asia,23780000
Spain,34,6.402999878,6.471054845,6.334944911,1.384397864,1.532090902,0.8889605999,0.4087812304,0.1901335716,0.07091409713,1.92775774,Western Europe,46593236
Qatar,35,6.375,6.568476814,6.181523186,1.870765686,1.27429688,0.7100980878,0.6041309834,0.33047387,0.4392992556,1.14546442,Middle East and Northern Africa,2724724
Colombia,36,6.356999874,6.452020054,6.261979694,1.070622325,1.402182937,0.5950279236,0.4774874151,0.149014473,0.04666874185,2.616068125,Latin America and Caribbean,48901066
Saudi Arabia,37,6.343999863,6.444166612,6.243833113,1.530623555,1.286677599,0.5901483297,0.4497505724,0.1476160139,0.2734322548,2.065429688,Middle East and Northern Africa,33099147
Trinidad and Tobago,38,6.168000221,6.381533891,5.954466552,1.361355901,1.380228519,0.5199832916,0.518630743,0.3252964616,0.008964816108,2.053247452,Latin America and Caribbean,1384072
Kuwait,39,6.105000019,6.191956989,6.018043049,1.632952452,1.259698749,0.6321057081,0.4963375926,0.2282897979,0.2151595503,1.640425205,Middle East and Northern Africa,4056099
Slovakia,40,6.09800005,6.177348412,6.018651687,1.325393558,1.505059242,0.7127329111,0.2958174646,0.1365444809,0.02421085164,2.097776651,Central and Eastern Europe,54580000
Bahrain,41,6.086999893,6.178989068,5.995010719,1.488412261,1.323110461,0.6531330347,0.5367469192,0.1726684868,0.2570421696,1.656149387,Middle East and Northern Africa,1494074
Malaysia,42,6.084000111,6.179979637,5.988020585,1.29121542,1.284646034,0.6187844276,0.4022649825,0.4166089296,0.06560070813,2.004448891,Southeastern Asia,31105028
Nicaragua,43,6.071000099,6.1865836,5.955416598,0.7372992039,1.28721571,0.6530959606,0.4475518465,0.301674217,0.1306879818,2.513930559,Latin America and Caribbean,6384855
Ecuador,44,6.007999897,6.105847675,5.910152119,1.000820398,1.286168814,0.6856362224,0.4551981986,0.150112465,0.1401346475,2.290352583,Latin America and Caribbean,16785361
El Salvador,45,6.002999783,6.108635122,5.897364443,0.9097844958,1.182125092,0.5960185528,0.4324525297,0.07825798541,0.08998095989,2.714593887,Latin America and Caribbean,6388122
